Switch,Port,Status,VLAN,PortMatchFlag
SafalCisco6,FastEthernet0/1,down, ,0
SafalCisco6,FastEthernet1/0,down,1,0
SafalCisco6,FastEthernet1/1,down,1,0
SafalCisco6,FastEthernet1/2,down,1,0
SafalCisco6,FastEthernet1/3,down,1,0
SafalCisco6,FastEthernet1/4,down,1,0
SafalCisco6,FastEthernet1/5,down,1,0
SafalCisco6,FastEthernet1/6,down,1,0
SafalCisco6,FastEthernet1/7,down,1,0
SafalCisco6,FastEthernet1/8,down,1,0
SafalCisco6,FastEthernet1/9,down,1,0
SafalCisco6,FastEthernet1/10,down,1,0
SafalCisco6,FastEthernet1/11,down,1,0
SafalCisco6,FastEthernet1/12,down,1,0
SafalCisco6,FastEthernet1/13,down,1,0
SafalCisco6,FastEthernet1/14,down,1,0
SafalCisco6,FastEthernet1/15,down,1,0
