Switch,Port,Status
SafalCisco6,FastEthernet0/1,down
SafalCisco6,FastEthernet1/0,down
SafalCisco6,FastEthernet1/1,down
SafalCisco6,FastEthernet1/2,down
SafalCisco6,FastEthernet1/3,down
SafalCisco6,FastEthernet1/4,down
SafalCisco6,FastEthernet1/5,down
SafalCisco6,FastEthernet1/6,down
SafalCisco6,FastEthernet1/7,down
SafalCisco6,FastEthernet1/8,down
SafalCisco6,FastEthernet1/9,down
SafalCisco6,FastEthernet1/10,down
SafalCisco6,FastEthernet1/11,down
SafalCisco6,FastEthernet1/12,down
SafalCisco6,FastEthernet1/13,down
SafalCisco6,FastEthernet1/14,down
SafalCisco6,FastEthernet1/15,down
